id,sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,c_charge_degree,c_charge_desc,is_recid,r_charge_degree,r_charge_desc,is_violent_recid,vr_charge_degree,vr_charge_desc,v_decile_score,start,end,event
1,1,69,1,5,0,1,0,0,0,1.0,0,17,0,10,340,0,9,83,1,0,327,0
3,1,34,0,0,0,3,0,0,0,1.0,0,172,1,3,116,1,2,54,1,9,159,1
4,1,24,2,0,0,4,0,1,4,1.0,0,318,1,7,90,0,9,83,3,0,63,0
5,1,23,2,0,0,8,1,0,1,1.0,0,317,0,10,340,0,9,83,6,0,1174,0
6,1,43,0,5,0,1,0,0,2,76.0,0,436,0,10,340,0,9,83,1,0,1102,0
7,1,44,0,5,0,1,0,0,0,0.0,1,44,0,10,340,0,9,83,1,1,853,0
8,1,41,0,2,0,6,0,0,14,1.0,0,296,1,2,199,0,9,83,2,5,40,1
9,1,43,0,5,0,4,0,0,3,1.0,0,436,0,10,340,0,9,83,3,0,265,0
10,0,39,0,2,0,1,0,0,0,1.0,1,44,0,10,340,0,9,83,1,2,747,0
13,1,21,2,2,0,3,0,0,1,308.0,0,202,1,7,27,1,1,9,5,0,428,1
14,1,27,0,2,0,4,0,0,0,1.0,0,252,0,10,340,0,9,83,4,0,857,0
15,1,23,2,0,0,6,0,0,3,0.0,1,44,1,8,89,0,9,83,4,4,128,1
16,0,37,0,2,0,1,0,0,0,0.0,1,44,0,10,340,0,9,83,1,1,1186,0
18,1,41,0,0,0,4,0,0,0,1.0,0,284,0,10,340,0,9,83,2,0,905,0
19,0,47,1,2,0,1,0,0,1,490.0,0,436,1,3,133,0,9,83,1,0,216,1
20,1,31,0,0,0,3,0,0,7,71.0,0,176,1,7,57,0,9,83,2,0,22,1
21,1,37,0,3,0,1,0,0,0,0.0,1,44,0,10,340,0,9,83,1,0,739,0
22,1,25,0,0,0,10,0,0,3,1.0,0,194,0,10,340,0,9,83,9,0,463,0
23,1,31,0,2,0,5,0,0,6,1.0,0,141,1,3,137,1,0,57,4,0,241,1
24,1,31,0,2,0,3,0,0,5,1.0,0,309,1,3,221,0,9,83,2,0,163,1
25,1,64,1,0,0,6,0,0,13,1.0,0,436,1,2,185,0,9,83,3,0,1,1
26,1,21,2,0,0,9,0,0,1,1.0,0,50,1,8,234,0,9,83,9,2,30,1
27,1,27,0,2,0,2,0,0,0,0.0,1,311,1,8,173,0,9,83,3,0,81,1
28,0,21,2,2,0,4,0,0,0,2.0,0,206,0,10,340,0,9,83,5,0,861,0
30,1,24,2,3,0,4,0,0,1,1.0,0,216,1,7,205,0,9,83,5,1,411,1
32,1,43,0,2,0,1,0,0,1,1.0,1,379,0,10,340,0,9,83,2,0,1162,0
33,1,32,0,5,0,3,0,0,0,1.0,1,44,0,10,340,0,9,83,4,1,1056,0
37,1,27,0,0,0,3,0,0,8,1.0,0,71,1,8,89,1,2,53,3,16,116,0
38,0,36,0,2,0,3,0,0,3,95.0,0,436,0,10,340,0,9,83,1,0,53,0
39,1,26,0,0,0,7,0,1,5,1.0,0,250,1,7,205,0,9,83,7,0,391,0
40,1,33,0,0,0,10,0,0,0,1.0,0,383,1,3,107,1,6,35,6,38,215,0
41,1,30,0,2,0,9,0,0,9,0.0,0,172,1,3,133,0,9,83,10,44,162,1
42,1,32,0,0,0,8,0,0,4,1.0,0,35,1,7,243,0,9,83,3,0,6,1
45,1,55,1,2,0,1,0,0,0,1.0,0,436,0,10,340,0,9,83,1,1,823,0
50,1,49,1,5,0,3,0,0,7,0.0,0,6,1,7,205,0,9,83,2,3,502,0
51,1,26,0,2,0,8,0,2,6,382.0,1,243,0,10,340,0,9,83,8,0,81,0
52,0,33,0,2,0,5,0,0,4,1.0,1,44,1,3,137,0,9,83,2,10,223,1
53,1,24,2,2,0,2,0,0,1,0.0,1,44,1,3,220,0,9,83,3,1,240,1
54,1,34,0,0,2,9,1,3,21,0.0,0,275,1,7,318,0,9,83,6,33,514,1
55,1,29,0,2,0,2,0,0,0,1.0,1,287,0,10,340,0,9,83,2,0,1171,0
56,0,21,2,0,0,8,0,0,2,1.0,0,436,0,10,340,0,9,83,8,79,524,0
57,1,51,1,0,0,1,0,0,2,1.0,1,415,0,10,340,0,9,83,1,0,1128,0
59,1,29,0,2,0,2,0,0,2,1.0,1,428,1,7,335,0,9,83,2,0,72,1
61,0,51,1,0,0,2,0,0,7,1.0,0,318,0,10,340,0,9,83,2,1,529,0
64,1,29,0,0,0,7,0,0,0,0.0,0,115,1,7,332,0,9,83,2,0,61,1
66,1,25,0,2,0,10,0,0,9,1.0,1,44,1,2,2,1,1,4,9,6,8,1
67,1,35,0,0,1,8,0,4,13,1.0,0,426,1,9,61,1,8,50,3,0,9,1
68,1,49,1,2,0,1,0,0,0,0.0,1,105,0,10,340,0,9,83,1,0,973,0
69,1,34,0,0,0,3,0,0,4,59.0,1,139,1,8,66,0,9,83,2,0,257,1
70,1,29,0,0,0,4,0,0,0,1.0,0,383,0,10,340,0,9,83,3,0,1073,0
71,1,29,0,2,0,2,0,0,1,24.0,0,326,1,7,90,0,9,83,2,0,441,0
72,0,28,0,5,0,2,0,0,0,1.0,0,194,0,10,340,0,9,83,2,0,865,0
75,1,48,1,2,0,6,0,0,20,562.0,0,436,1,8,306,0,9,83,4,0,275,1
77,0,63,1,3,0,1,0,0,1,219.0,0,436,0,10,340,0,9,83,1,0,800,0
79,1,31,0,0,0,5,0,1,15,1.0,0,36,1,8,173,0,9,83,7,135,1077,1
80,1,24,2,0,0,4,0,0,2,1.0,0,271,1,7,205,0,9,83,4,1,575,1
83,1,30,0,3,0,7,0,0,0,0.0,1,287,0,10,340,0,9,83,3,23,1167,0
84,1,49,1,0,0,1,0,0,4,1.0,1,44,0,10,340,0,9,83,1,0,948,0
85,1,53,1,2,0,5,0,0,8,13.0,0,436,0,10,340,0,9,83,2,0,1039,0
87,1,35,0,0,0,3,0,0,5,1.0,0,141,0,10,340,0,9,83,2,0,1145,0
88,1,63,1,0,0,7,0,0,10,906.0,1,290,1,8,179,0,9,83,5,0,44,1
90,1,27,0,0,1,10,1,2,15,1.0,0,141,1,7,205,0,9,83,9,0,44,1
91,1,38,0,2,0,2,0,0,4,1.0,1,44,1,8,278,0,9,83,2,1,272,1
93,1,22,2,0,0,4,0,1,1,1.0,0,261,1,7,205,0,9,83,6,0,371,1
95,1,22,2,0,0,10,1,2,2,114.0,0,357,1,8,278,0,9,83,9,0,70,0
96,1,29,0,0,0,9,0,0,4,1.0,0,436,1,3,6,0,9,83,5,18,69,0
97,1,62,1,3,0,1,0,0,0,1.0,1,414,0,10,340,0,9,83,1,0,1179,0
98,1,27,0,0,0,6,1,0,6,0.0,0,21,1,3,221,0,9,83,3,30,193,1
99,1,33,0,5,0,1,0,0,0,1.0,1,44,0,10,340,0,9,83,1,0,754,0
100,0,56,1,0,0,1,0,0,0,1.0,1,44,0,10,340,0,9,83,1,3,916,0
101,1,45,1,3,0,1,0,0,6,1.0,0,318,1,8,173,1,6,35,1,241,323,1
102,1,22,2,3,0,4,0,0,1,1.0,0,64,0,10,340,0,9,83,6,0,1042,0
105,1,39,0,0,0,4,0,0,1,1.0,1,436,0,10,340,0,9,83,2,4,1121,0
107,1,29,0,0,0,6,0,0,5,0.0,0,164,1,8,173,0,9,83,3,1,253,1
108,1,27,0,2,0,6,0,1,1,1.0,0,436,1,3,183,0,9,83,3,13,273,0
111,1,40,0,0,0,2,0,0,2,15.0,0,436,0,10,340,0,9,83,1,0,989,0
113,1,22,2,0,0,3,0,0,1,1.0,1,44,1,8,89,0,9,83,3,17,256,0
114,1,22,2,2,0,8,0,0,0,1.0,0,194,0,10,340,0,9,83,6,57,73,0
115,0,26,0,0,0,4,0,0,1,1.0,0,256,1,7,243,1,2,46,3,1,11,1
116,1,27,0,2,0,7,0,0,1,44.0,0,60,1,7,117,1,6,55,8,0,258,1
119,1,32,0,0,0,2,0,0,0,1.0,0,171,0,10,340,0,9,83,1,0,1124,0
120,1,41,0,0,0,2,0,0,1,5185.0,1,436,0,10,340,0,9,83,2,1,1128,0
122,1,30,0,0,0,10,0,0,8,1.0,1,287,1,7,205,1,2,40,9,0,55,1
