age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
70,4,14956,11,8,0,12,1,3,1,0,59,49,39,0
21,4,7033,14,5,0,10,1,4,0,0,0,39,39,0
36,4,6451,15,9,1,12,0,4,1,0,0,29,17,0
45,4,866,8,13,1,0,0,4,0,0,0,14,39,0
29,4,12171,15,9,1,0,0,4,1,0,0,39,0,1
24,6,6199,9,12,1,8,0,4,1,0,0,39,37,0
50,4,16498,15,9,1,4,0,4,0,41,0,44,39,0
4,4,2716,11,8,0,12,1,4,0,0,0,39,7,0
39,4,2356,15,9,1,7,0,4,0,0,0,49,39,0
2,4,2481,11,8,0,3,1,4,0,79,0,90,30,0
22,2,11853,9,12,1,10,0,4,0,0,0,44,39,1
1,4,4893,1,1,0,3,5,4,0,0,0,19,39,0
4,4,5212,8,11,0,1,1,2,0,0,0,39,22,0
27,4,13716,15,9,0,8,3,4,0,0,0,39,39,0
10,2,15958,11,8,1,3,0,4,0,0,0,34,39,0
57,4,1936,11,8,0,6,4,2,0,0,0,39,39,1
24,4,7000,15,9,0,12,3,4,1,0,0,39,27,0
8,4,17675,12,6,1,1,4,4,0,0,0,59,39,0
15,4,7994,9,12,1,8,0,4,1,106,0,39,39,0
20,4,19414,9,5,1,12,0,4,0,0,0,49,11,0
26,4,1196,11,8,1,3,0,4,1,0,0,39,39,1
35,4,3990,15,9,0,4,1,2,1,0,0,21,39,0
16,5,20086,11,8,1,3,0,4,1,0,0,39,39,0
36,2,21370,7,11,0,2,1,4,1,0,0,34,39,0
5,3,9900,3,13,0,4,4,4,0,0,0,49,39,0
19,4,606,8,9,0,1,3,4,1,0,0,19,39,0
18,4,11959,11,8,1,1,0,4,0,0,0,39,39,0
22,4,13513,9,12,1,13,0,2,1,0,0,39,39,0
46,4,5780,1,6,0,4,1,4,0,0,0,88,39,0
2,5,16884,9,12,0,10,5,4,0,0,0,86,39,0
44,2,15993,9,10,0,12,3,4,1,0,0,39,39,0
33,4,14032,2,3,1,1,0,4,1,0,0,19,39,0
20,4,7035,6,14,0,8,3,4,0,0,0,39,39,1
10,7,19011,15,9,0,3,3,4,0,0,0,60,39,0
22,4,12165,11,8,0,7,3,4,0,0,0,49,39,0
50,4,7481,11,8,1,9,5,4,0,0,0,69,39,1
28,6,11700,11,8,1,0,0,4,0,0,0,51,19,1
67,4,16770,11,8,0,0,4,4,1,0,0,68,39,0
22,2,16243,9,12,1,0,0,4,0,0,0,39,39,0
10,4,14263,9,12,1,10,0,4,0,0,73,39,39,0
17,4,13736,7,0,1,0,5,4,1,72,0,39,39,1
33,4,12292,9,12,0,1,4,3,0,14,38,39,39,0
9,4,12422,12,9,1,4,0,4,1,0,0,39,39,0
17,4,315,15,9,0,8,1,4,0,0,0,49,39,0
29,4,796,9,12,0,3,3,4,0,0,0,39,23,0
13,4,16638,15,9,0,7,1,4,0,0,0,39,39,1
28,4,7725,9,12,0,7,4,4,1,0,0,22,39,0
30,4,14765,2,13,1,12,0,4,0,0,0,39,39,1
42,4,357,15,9,0,8,4,4,0,0,0,39,39,0
10,4,10425,9,12,0,13,4,4,0,0,0,39,39,0
30,1,7831,6,12,1,12,0,4,0,0,0,53,39,1
18,1,19035,8,14,0,4,3,4,0,0,0,51,39,0
64,4,783,11,8,1,14,0,4,0,0,0,70,39,0
38,4,6178,5,1,0,3,4,4,1,0,0,56,39,1
29,4,12525,11,8,0,5,1,4,1,0,0,44,39,0
27,4,16364,11,8,0,10,1,2,1,0,0,77,14,0
18,4,15358,9,14,1,3,0,4,0,0,0,5,39,0
35,4,12864,11,8,0,8,4,4,1,0,0,39,39,0
43,4,4536,15,12,1,12,1,4,0,0,0,39,39,0
18,5,13804,14,13,0,6,1,4,0,0,0,39,39,1
10,4,17347,11,8,1,3,0,2,1,83,0,32,39,1
39,2,3529,15,9,1,0,0,4,0,0,0,5,39,0
18,7,16685,1,12,1,10,0,4,1,0,0,36,5,0
36,4,10217,7,12,0,3,3,2,1,0,0,39,39,0
5,5,2347,15,9,1,10,5,1,0,0,0,59,39,0
10,4,4657,12,15,1,6,0,4,0,0,0,92,39,0
46,4,14758,9,6,0,4,1,2,0,0,0,39,39,0
42,4,16965,1,10,0,12,1,1,0,0,0,59,39,0
13,6,14946,8,10,0,3,1,4,1,0,0,39,39,0
20,4,11945,14,8,1,1,0,2,0,0,0,13,39,0
46,0,15213,9,8,0,12,1,4,0,0,0,63,39,1
69,4,19000,15,9,0,7,1,4,0,0,20,89,39,0
42,2,21126,15,9,0,12,3,4,1,37,0,33,39,0
25,4,1958,15,9,0,13,4,4,1,106,0,39,39,0
7,4,3349,11,8,0,0,1,4,0,0,0,39,39,0
23,4,2526,11,8,0,3,1,1,0,0,0,9,39,0
22,6,18037,11,8,0,11,4,4,0,0,0,11,39,0
33,4,13367,11,8,1,4,0,4,1,0,0,39,39,1
2,0,12497,9,12,1,8,0,4,0,0,0,39,39,0
8,4,17139,11,8,1,2,0,4,1,0,0,39,39,1
19,4,15085,15,14,1,13,1,4,0,0,0,59,26,0
25,4,3383,12,13,1,1,0,4,0,0,0,39,35,0
31,4,9601,11,8,0,12,3,4,1,62,0,39,39,0
0,4,5795,15,9,0,14,3,4,0,85,0,59,23,1
30,4,12884,9,12,1,7,0,4,0,0,0,48,39,0
48,4,21511,11,8,1,7,0,4,0,0,0,56,39,0
19,0,11238,1,8,0,3,1,4,0,0,0,39,39,1
8,4,11,4,13,0,12,2,4,0,0,0,29,39,0
10,4,16152,11,8,0,5,5,4,1,0,0,43,39,0
18,2,16127,9,12,1,7,0,4,0,12,0,39,39,0
54,4,10375,11,8,0,3,1,4,0,0,0,39,39,0
70,8,2245,11,8,1,4,0,4,0,0,0,59,39,0
4,4,4325,15,9,1,3,0,4,0,0,0,63,39,0
18,4,12834,11,8,1,4,4,4,0,0,0,39,39,1
36,6,1550,7,9,1,3,0,4,1,0,0,39,39,0
41,4,2550,11,8,0,3,0,4,0,0,0,93,39,1
42,7,10870,9,4,0,12,3,4,1,0,0,39,19,0
17,4,12970,15,5,1,4,5,4,0,0,43,49,39,0
62,4,7876,11,8,0,10,1,4,0,0,0,49,39,0
0,5,15972,12,10,0,3,3,4,1,0,0,39,2,1
8,4,7815,15,9,0,7,4,4,0,0,0,45,39,0
40,0,16661,11,12,0,7,1,4,0,0,0,49,17,1
3,7,9003,11,8,0,4,3,4,1,0,85,59,39,1
31,4,1567,15,9,0,4,1,4,1,0,0,44,39,0
8,5,18295,8,8,0,6,1,4,0,0,0,0,39,0
5,4,8138,11,10,0,8,1,4,0,0,0,49,39,0
41,6,5793,11,8,0,4,1,1,0,96,0,50,39,1
33,4,18004,15,9,1,8,5,4,1,0,0,54,1,0
18,4,21080,7,10,1,10,3,4,0,0,0,14,39,0
4,6,18019,15,9,0,12,1,4,0,0,0,19,39,0
3,4,5389,12,13,0,1,4,4,0,0,0,39,39,0
56,4,19712,12,8,0,10,2,4,0,0,0,49,39,0
19,4,6601,9,12,0,10,1,4,0,0,0,39,39,1
13,4,19471,11,8,0,10,4,4,0,0,0,47,39,0
40,4,17974,0,12,0,3,3,3,0,0,0,50,39,1
51,0,19164,11,8,0,0,1,2,1,0,0,39,39,0
18,4,12194,12,4,1,0,0,4,0,0,0,39,39,1
37,4,1382,9,12,0,0,4,4,1,0,0,55,39,0
0,4,12569,11,8,0,4,4,4,0,0,0,39,39,0
64,4,17578,9,12,0,3,1,4,0,0,0,44,3,0
21,5,16514,12,13,1,5,0,4,1,0,0,83,39,0
32,4,18182,4,6,0,6,3,2,0,0,0,89,39,0
9,4,18031,9,12,0,4,4,4,0,0,0,39,16,0
4,6,18120,9,12,1,8,0,4,0,0,0,39,39,0
32,4,19559,11,8,1,5,0,4,0,0,0,39,39,0
21,4,219,13,10,1,7,5,4,0,0,0,39,39,0
7,4,9138,11,8,1,3,0,4,0,0,0,19,34,0
43,4,15298,9,12,1,6,0,3,0,6,0,52,39,1
10,4,8508,15,9,1,9,5,4,1,0,0,43,6,1
13,4,6890,0,5,1,10,0,4,0,0,0,31,39,0
65,4,20199,11,8,0,4,1,4,0,0,0,39,39,0
22,4,12592,12,13,0,0,1,0,0,0,0,39,39,1
7,4,5837,5,6,1,4,0,4,0,0,0,49,39,0
55,4,16219,5,0,1,3,0,4,0,0,0,39,39,1
35,4,9300,15,9,0,0,1,4,0,0,0,39,39,0
25,4,17887,15,9,1,8,0,4,0,0,0,39,39,0
55,4,1325,9,12,1,10,0,4,0,0,0,39,39,0
17,4,4258,14,0,1,0,0,4,0,0,0,39,39,0
59,4,16817,15,9,1,8,5,4,1,65,42,39,39,0
21,4,20122,4,5,0,4,4,4,0,118,0,39,39,0
8,2,4101,15,9,1,3,0,4,0,0,0,39,39,0
12,4,15670,11,13,1,2,0,4,1,0,0,50,39,0
27,2,19767,0,12,1,8,5,4,1,0,0,49,39,1
22,4,17435,15,9,0,13,3,4,0,0,64,43,11,1
7,7,11231,11,8,1,8,0,4,1,0,0,39,39,0
46,4,17001,0,8,0,3,1,4,0,0,0,39,39,0
21,4,16131,14,5,0,0,4,4,1,0,0,49,39,0
47,0,9285,11,8,1,10,3,4,0,0,0,39,39,0
34,4,15774,9,12,1,4,0,4,0,0,0,39,39,0
41,0,6745,15,9,0,10,3,4,1,28,77,39,37,0
44,6,20255,11,8,1,0,0,4,0,0,16,58,39,0
7,6,1397,1,4,1,4,0,4,1,0,0,39,39,0
58,4,20797,9,9,0,11,4,4,0,0,0,49,39,1
9,4,20323,11,8,1,10,0,4,0,0,0,39,39,0
29,0,19045,8,1,0,7,1,2,0,98,0,43,39,0
43,4,1689,11,14,0,8,1,0,0,0,0,39,39,0
18,4,21604,6,13,0,3,4,4,0,0,0,39,14,0
51,7,7950,15,8,0,10,3,4,0,108,12,76,9,0
3,4,10865,12,13,0,4,1,4,1,92,0,23,39,0
37,0,9702,11,8,1,10,0,2,1,0,0,54,39,1
14,4,17521,9,13,0,12,1,4,0,0,0,66,39,1
60,1,14679,15,9,1,12,0,2,0,0,0,44,39,1
67,4,15565,15,9,0,3,1,4,0,0,0,45,39,0
58,4,11652,12,2,0,10,4,4,1,0,0,39,39,0
7,4,11180,15,10,0,4,3,4,1,0,0,39,39,0
26,4,4969,15,9,0,1,1,4,0,0,27,39,39,1
38,1,9840,1,15,0,8,1,4,1,0,0,39,39,0
16,4,11408,9,12,0,10,1,4,0,0,0,39,39,0
21,4,6764,15,7,0,8,1,4,0,114,9,84,39,0
25,5,12804,9,12,1,5,0,4,0,0,0,39,39,0
41,2,3447,11,8,0,0,1,4,0,0,0,39,39,1
7,3,21420,11,8,1,3,0,4,1,0,0,39,39,0
13,4,10981,11,8,1,8,0,2,1,0,0,39,39,0
28,4,15772,11,8,1,1,0,4,1,0,0,39,39,0
16,4,16363,14,3,0,4,1,4,0,98,81,39,25,1
