age,education.num,marital.status,sex,hours.per.week,income
72,8,0,1,39,0
65,8,0,1,17,0
49,9,0,1,39,0
37,3,0,1,39,0
24,9,0,1,39,0
17,8,0,1,44,0
21,5,0,0,39,0
57,15,0,1,19,1
51,8,0,1,39,0
24,9,0,0,59,1
28,15,0,1,34,1
21,14,0,0,44,1
35,12,0,1,19,1
15,13,0,0,54,1
34,15,0,0,39,1
29,14,0,0,39,1
28,6,0,0,73,1
40,13,0,0,49,1
5,11,0,0,39,1
17,12,0,0,49,1
20,12,0,0,39,1
12,6,0,1,41,0
44,8,0,1,24,0
34,9,1,0,39,0
44,8,1,0,31,0
4,10,1,0,39,0
16,1,1,0,31,0
32,2,1,0,39,0
20,5,0,0,49,1
21,5,0,0,85,1
6,9,0,0,39,1
42,5,0,1,49,1
35,14,0,0,59,1
34,12,0,0,49,1
43,8,0,0,49,1
46,15,0,1,59,1
36,8,0,0,47,1
34,14,0,1,49,1
20,15,0,1,59,1
37,13,0,1,39,1
27,12,0,0,49,1
26,13,0,1,39,1
34,9,0,1,39,1
26,13,0,1,39,1
54,8,1,0,14,0
31,12,1,1,68,1
54,8,1,0,51,0
56,8,1,0,39,0
51,9,1,1,39,0
50,9,1,0,39,0
23,14,0,0,44,1
33,8,0,1,69,1
34,10,0,0,38,1
25,9,0,1,39,1
22,13,0,0,44,1
15,12,0,0,49,1
36,9,0,0,44,1
23,9,0,0,39,1
21,12,0,1,44,1
16,10,0,0,41,1
26,11,0,0,68,1
33,6,0,0,39,1
27,9,1,1,5,1
34,12,1,0,39,1
24,14,1,0,39,1
43,10,1,0,68,1
20,13,1,0,59,1
38,14,1,0,34,1
22,12,1,0,59,1
25,14,1,0,59,1
32,12,1,0,54,1
30,8,1,0,49,1
24,14,1,0,44,1
38,12,1,0,49,1
22,13,1,1,64,1
25,12,1,0,59,1
24,10,1,0,11,1
29,13,1,0,64,1
23,13,1,0,44,1
15,12,1,0,47,1
24,9,1,0,54,1
43,14,1,0,76,1
14,13,1,0,68,1
41,9,1,0,39,1
20,12,1,0,49,1
27,12,1,0,49,1
22,14,1,0,49,1
26,14,1,0,54,1
38,12,1,0,49,1
27,13,1,0,54,1
22,14,1,0,66,1
29,12,1,0,39,1
22,9,1,0,93,1
45,12,1,0,59,1
14,8,1,1,39,1
29,12,1,0,34,1
29,14,1,0,76,1
22,10,1,0,39,1
22,14,1,0,93,1
42,15,1,0,44,1
33,14,1,0,59,1
29,15,1,0,54,1
36,12,1,0,39,1
33,14,1,0,29,1
24,14,1,1,54,1
19,12,1,0,44,1
21,14,1,0,85,1
37,9,1,0,49,1
33,12,1,1,19,1
30,12,1,0,59,1
30,14,1,0,44,1
50,12,0,0,39,1
50,12,1,0,72,1
55,15,1,0,24,1
55,15,1,0,5,1
29,13,1,0,49,1
61,12,1,0,39,1
54,12,1,0,59,1
66,12,1,0,54,1
51,13,1,0,39,1
9,10,1,0,44,0
51,15,1,0,59,1
32,8,1,1,39,1
19,8,1,0,59,0
53,12,1,0,11,1
10,9,1,1,19,0
18,9,1,0,39,0
6,8,1,0,39,0
64,8,1,0,25,1
49,15,1,0,24,1
54,8,1,0,44,1
51,9,1,0,54,1
51,13,1,0,41,1
48,12,1,0,39,1
35,8,1,0,39,0
23,11,1,0,49,0
51,12,1,0,34,1
4,9,1,0,47,0
18,8,1,0,39,0
53,12,1,0,49,1
44,8,1,0,49,0
48,8,1,0,64,0
29,2,0,1,44,0
9,12,0,0,54,0
42,8,0,0,39,0
44,2,0,0,39,0
43,12,0,1,39,0
32,9,0,0,49,0
17,12,1,0,39,0
8,12,0,1,34,0
38,9,0,1,44,0
42,8,0,1,39,0
11,9,0,0,39,0
26,10,0,1,35,0
39,13,0,1,59,0
24,8,0,0,39,0
25,8,0,1,39,0
11,14,0,0,39,0
23,14,0,1,34,0
52,12,0,0,39,1
49,8,1,0,39,0
52,2,1,0,39,0
38,13,1,1,39,0
40,8,0,0,39,0
3,9,0,0,9,0
