age,sex,decile_score,priors_count,race,days_in_jail,c_days_from_compas,is_violent_recid,v_decile_score,is_recid
51,1,1,0,5,0.0,1.0,0,1,0
51,1,1,0,5,0.0,1.0,0,1,0
13,1,5,0,2,0.0,1.0,0,2,-1
16,1,3,0,0,10.0,1.0,1,1,1
6,1,4,4,0,1.0,1.0,0,3,1
6,1,4,4,0,1.0,1.0,0,3,1
6,1,4,4,0,1.0,1.0,0,3,1
6,1,4,4,0,1.0,1.0,0,3,1
6,1,4,4,0,1.0,1.0,0,3,1
5,1,8,1,0,0.0,1.0,0,6,0
25,1,1,2,5,0.0,76.0,0,1,0
26,1,1,0,5,1.0,0.0,0,1,0
23,1,6,14,2,6.0,1.0,0,2,1
23,1,6,14,2,6.0,1.0,0,2,1
25,1,4,3,5,0.0,1.0,0,3,0
25,1,4,3,5,0.0,1.0,0,3,0
25,1,4,3,5,0.0,1.0,0,3,0
21,0,1,0,2,2.0,1.0,0,1,0
2,1,10,0,2,33.0,1.0,0,9,0
2,1,10,0,2,33.0,1.0,0,9,0
2,1,10,0,2,33.0,1.0,0,9,0
8,0,5,0,2,1.0,1.0,0,3,0
8,0,5,0,2,1.0,1.0,0,3,0
8,0,5,0,2,1.0,1.0,0,3,0
3,1,3,1,2,0.0,308.0,1,5,1
9,1,4,0,2,1.0,1.0,0,4,0
5,1,6,3,0,4.0,0.0,0,4,1
19,0,1,0,2,0.0,0.0,0,1,0
4,1,3,0,2,0.0,0.0,0,5,0
23,1,4,0,0,0.0,1.0,0,2,0
29,0,1,1,2,14.0,490.0,0,1,1
29,0,1,1,2,14.0,490.0,0,1,1
13,1,3,7,0,3.0,71.0,0,2,1
13,1,3,7,0,3.0,71.0,0,2,1
19,1,1,0,3,0.0,0.0,0,1,0
7,1,10,3,0,1.0,1.0,0,9,0
7,1,10,3,0,1.0,1.0,0,9,0
13,1,5,6,2,1.0,1.0,1,4,1
13,1,3,5,2,1.0,1.0,0,2,1
13,1,3,5,2,1.0,1.0,0,2,1
13,1,3,5,2,1.0,1.0,0,2,1
46,1,6,13,0,1.0,1.0,0,3,1
46,1,6,13,0,1.0,1.0,0,3,1
46,1,6,13,0,1.0,1.0,0,3,1
3,1,9,1,0,3.0,1.0,0,9,1
3,1,9,1,0,3.0,1.0,0,9,1
3,1,9,1,0,3.0,1.0,0,9,1
3,1,9,1,0,3.0,1.0,0,9,1
3,1,9,1,0,3.0,1.0,0,9,1
3,1,9,1,0,3.0,1.0,0,9,1
9,1,2,0,2,0.0,0.0,0,3,1
3,0,4,0,2,1.0,2.0,0,5,0
6,1,-1,2,0,1.0,0.0,0,6,1
6,1,-1,2,0,1.0,0.0,0,6,1
6,1,-1,2,0,1.0,0.0,0,6,1
6,1,-1,2,0,1.0,0.0,0,6,1
6,1,-1,2,0,1.0,0.0,0,6,1
6,1,4,1,3,0.0,1.0,0,5,1
24,1,3,1,2,104.0,133.0,0,1,0
25,1,1,1,2,1.0,1.0,0,2,0
14,1,3,0,5,1.0,1.0,0,4,0
36,0,9,0,0,110.0,1.0,0,5,0
26,1,6,8,0,0.0,4296.0,0,4,0
31,0,1,0,2,0.0,1.0,0,1,-1
9,1,3,8,0,17.0,1.0,1,3,1
9,1,3,8,0,17.0,1.0,1,3,1
9,1,3,8,0,17.0,1.0,1,3,1
9,1,3,8,0,17.0,1.0,1,3,1
18,0,3,3,2,0.0,95.0,0,1,0
18,0,3,3,2,0.0,95.0,0,1,0
8,1,7,5,0,0.0,1.0,0,7,1
8,1,7,5,0,0.0,1.0,0,7,1
8,1,7,5,0,0.0,1.0,0,7,1
15,1,10,0,0,37.0,1.0,1,6,1
15,1,10,0,0,37.0,1.0,1,6,1
12,1,9,9,2,44.0,0.0,0,10,1
12,1,9,9,2,44.0,0.0,0,10,1
14,1,8,4,0,1.0,1.0,0,3,1
14,1,8,4,0,1.0,1.0,0,3,1
45,1,1,0,0,1.0,1.0,0,1,0
9,1,3,2,3,0.0,1.0,0,3,0
37,1,1,0,2,2.0,1.0,0,1,0
11,1,8,0,2,0.0,1.0,0,6,-1
14,1,10,15,0,92.0,0.0,0,8,0
20,1,3,5,0,165.0,1.0,0,4,0
20,1,3,5,0,165.0,1.0,0,4,0
20,1,3,5,0,165.0,1.0,0,4,0
35,1,5,19,2,5.0,1.0,0,2,0
35,1,5,19,2,5.0,1.0,0,2,0
31,1,3,7,5,3.0,0.0,0,2,1
31,1,3,7,5,3.0,0.0,0,2,1
31,1,3,7,5,3.0,0.0,0,2,1
8,1,8,6,2,12.0,382.0,0,8,0
